date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:54:03	9159/9159	---MC-	200	added ('OK')	text/html		https://codm.360mobi.vn/battlepass1	E:/MARKETING/Call%20of%20Duty%20Mobile%20VN/Battle%20Pass%20Landing%20Pages/CODM%20-%20Battle%20Pass%20Landing%20Pages/codm.360mobi.vn/battlepass1.html	(from )
20:54:03	22/22	---M--	200	added ('OK')	text/plain	date:Sun,%2007%20Sep%202014%2017:00:00%20GMT	https://codm.360mobi.vn/robots.txt		(from )
20:54:05	12795/12795	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Sep%202024%2004:28:50%20GMT	http://img.zing.vn/products/codm/landing/battle-pass-1/pc/css-full/jquery.fancybox.min.css	E:/MARKETING/Call%20of%20Duty%20Mobile%20VN/Battle%20Pass%20Landing%20Pages/CODM%20-%20Battle%20Pass%20Landing%20Pages/img.zing.vn/products/codm/landing/battle-pass-1/pc/css-full/jquery.fancybox.min.css	(from https://codm.360mobi.vn/battlepass1)
20:54:06	21663/21663	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Sep%202024%2004:28:50%20GMT	http://img.zing.vn/products/codm/landing/battle-pass-1/pc/css-full/landing.css	E:/MARKETING/Call%20of%20Duty%20Mobile%20VN/Battle%20Pass%20Landing%20Pages/CODM%20-%20Battle%20Pass%20Landing%20Pages/img.zing.vn/products/codm/landing/battle-pass-1/pc/css-full/landing.css	(from https://codm.360mobi.vn/battlepass1)
20:54:06	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2030%20Jun%202025%2013:54:06%20GMT	https://www.googletagmanager.com/gtm.js?id=	E:/MARKETING/Call%20of%20Duty%20Mobile%20VN/Battle%20Pass%20Landing%20Pages/CODM%20-%20Battle%20Pass%20Landing%20Pages/www.googletagmanager.com/gtm.55445.delayed	(from https://codm.360mobi.vn/battlepass1)
20:54:06	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Jun%202025%2013:54:06%20GMT	http://codm.360mobi.vn/index.html	E:/MARKETING/Call%20of%20Duty%20Mobile%20VN/Battle%20Pass%20Landing%20Pages/CODM%20-%20Battle%20Pass%20Landing%20Pages/codm.360mobi.vn/index.6.delayed	(from https://codm.360mobi.vn/battlepass1)
20:54:06	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Jun%202025%2013:54:06%20GMT	http://codm.360mobi.vn/	E:/MARKETING/Call%20of%20Duty%20Mobile%20VN/Battle%20Pass%20Landing%20Pages/CODM%20-%20Battle%20Pass%20Landing%20Pages/codm.360mobi.vn/index.html	(from https://codm.360mobi.vn/battlepass1)
20:54:12	30498/30498	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Sep%202024%2004:28:50%20GMT	http://img.zing.vn/products/codm/landing/battle-pass-1/pc/images/battle/battle-1.jpg	E:/MARKETING/Call%20of%20Duty%20Mobile%20VN/Battle%20Pass%20Landing%20Pages/CODM%20-%20Battle%20Pass%20Landing%20Pages/img.zing.vn/products/codm/landing/battle-pass-1/pc/images/battle/battle-1.jpg	(from https://codm.360mobi.vn/battlepass1)
20:54:17	33196/33196	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Sep%202024%2004:28:50%20GMT	http://img.zing.vn/products/codm/landing/battle-pass-1/pc/images/battle/battle-2.jpg	E:/MARKETING/Call%20of%20Duty%20Mobile%20VN/Battle%20Pass%20Landing%20Pages/CODM%20-%20Battle%20Pass%20Landing%20Pages/img.zing.vn/products/codm/landing/battle-pass-1/pc/images/battle/battle-2.jpg	(from https://codm.360mobi.vn/battlepass1)
20:54:24	35774/35774	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Sep%202024%2004:28:50%20GMT	http://img.zing.vn/products/codm/landing/battle-pass-1/pc/images/battle/battle-3.jpg	E:/MARKETING/Call%20of%20Duty%20Mobile%20VN/Battle%20Pass%20Landing%20Pages/CODM%20-%20Battle%20Pass%20Landing%20Pages/img.zing.vn/products/codm/landing/battle-pass-1/pc/images/battle/battle-3.jpg	(from https://codm.360mobi.vn/battlepass1)
